"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"3","Yes","Multifamily Housing",117241,1905,37.1,"01234","Multifamily Housing",42.6,99,1905,4,4998855.7,15.4247195842059,40.4,59.6
"4","Yes","Multifamily Housing",178000,1900,29.8,"02021","Multifamily Housing",56.8,92,1900,3.5,10109996.3,16.1290352250223,25.8,74.2
"5","Yes","Office",58921,1924,10.9,"02026","Office",26.3,100,1924,2.3,1552224.5,14.2551996213261,100,NA
"6","Yes","Parking",160180,1980,0.1,"02038","Parking",5.1,NA,1980,0.4,679479.3,13.4290820485332,100,NA
"7","Yes","Office",1136283,1973,10.2,"02108","Data Center, Office, Parking",98.2,82,1973,7.3,111572120.2,18.5301817577051,43.6,1
"8","Yes","Office",741231,1963,9.9,"02108","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",69,87,1963,5.3,51140198.5,17.7500814093215,71.3,28.7
"9","Yes","Hotel",95000,1893,25,"02108","Hotel",86.6,49,1893,6.3,8223063.5,15.9224533861657,60,40
"11","Yes","Residence Hall/Dormitory",131253,2004,36.4,"02108","Residence Hall/Dormitory",90.2,50,2004,6.6,11834472.5,16.2865272287497,42.1,8.4
"12","Yes","Office",38000,1900,10.9,"02108","Office",63,99,1900,4.6,2394594.6,14.6887245051884,NA,NA
"13","Yes","Office",50300,1816,18.5,"02108","Office",85.5,59,1816,6.1,4301672.1,15.2745143655423,54.8,45.2
"14","Yes","Office",80344,1901,29.6,"02108","Office",64.5,NA,1901,4.4,5181744.7,15.4606523721982,44.4,55.7
"15","Yes","Office",134789,1925,10.3,"02108","Office, Retail Store",74.2,86,1925,5.7,9995985.3,16.1176941003477,56.9,0
"16","Yes","College/University",287602,1996,15,"02108","Other",47.8,NA,1996,4,13727428.7,16.4349064841679,93.5,6.5
"17","Yes","Multifamily Housing",39800,1890,6715.5,"02108","Multifamily Housing, Retail Store",137.3,NA,1890,8,5466349.9,15.5141216573255,15.1,84.9
"18","Yes","Multifamily Housing",209103,1965,15,"02108","Multifamily Housing, Parking",13.1,100,1965,1.1,2736096.2,14.8220427179252,100,NA
"19","Yes","Office",71900,1897,5.5,"02108","Library, Office",51.4,95,1897,4.1,3698055.9,15.123317807094,48,3.4
"20","Yes","College/University",46790,1989,14.3,"02108","College/University",160.8,NA,1989,9.7,7524953.6,15.8337352024672,22.4,77.6
"21","Yes","Hotel",41405,1909,84.6,"02108","Hotel, Other - Restaurant/Bar",282.8,NA,1909,18.5,11710686.6,16.2760123675015,37.1,35.2
"22","Yes","Office",81986,1911,1.4,"02108","Office",60.3,94,1911,4.1,4946200.4,15.4141302438327,44.6,55.4
"23","Yes","Barracks",125530,1908,37.3,"02108","Barracks",54.3,67,1908,4.2,6812700.3,15.7342991193563,72.8,25
"25","Yes","Office",43073,1968,10.1,"02108","Office",26.2,NA,1968,2.2,1130054.4,13.9377763311227,100,NA
"26","Municipal ","Office",9680,2000,57.8,"02108","Office",179.2,15,2000,11.2,1734399.7,14.366171917257,14.7,50.1
"27","Yes","College/University",103599,2015,8.6,"02108","College/University",72.1,NA,2015,6.2,7468757.4,15.8262391978905,100,NA
