Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,254115,Archer Building Lofts Condominium Association,2310 S. Canal Street,60616,Armour Square,Multifamily Housing,99000,2000,1,96,1935003.2,2783435.5,,,,47.7,90.9,46.7,87.8,504.5,5.1,41.8842525,-87.63245,"(41.8842525, -87.63245)"
2016,254114,HRTL - Town Hall: 3600 N Halsted,3600 North Halsted Street,60613,Lake View,Multifamily Housing,92072,2014,1,55,2477744.2,3147551.1,,,,61.1,120.4,63.6,123,623.9,6.8,41.9474017,-87.64964,"(41.9474017, -87.64964)"
2016,254113,40 E Delaware Condominiums,40 E Delaware,60611,Near North Side,Multifamily Housing,136000,1924,1,24,5724360.2,1951759.8,,,,56.4,147.2,59.8,157.4,1158.8,8.5,41.8992081,-87.62729,"(41.8992081, -87.62729)"
2016,254109,South Commons - 2901 S Michigan,2901 S Michigan,60616,Douglas,Multifamily Housing,182246,1964,1,41,3158535.8,17010259.2,,,,110.7,152.4,121.1,163.3,1485.7,8.2,41.8458598,-87.62921,"(41.8458598, -87.62921)"
2016,254107,Columbus on the Park Condominium,811 S Lytle,60607,Near West Side,Multifamily Housing,193497,1930,1,94,3620381.1,5465540.1,,,,47,88.4,48.8,89,957.6,4.9,41.8742951,-87.65018,"(41.8742951, -87.65018)"
2016,254102,Residences at the VIC,3140 N Sheffield Ave,60657,Lake View,Multifamily Housing,187888,2007,1,78,7498746.9,2341126.7,,,,52.4,138.4,53.5,139.6,1506.5,8,41.9393396,-87.65423,"(41.9393396, -87.65423)"
2016,254101,3400 Lake Shore Drive Condominium,3400 Lake Shore Drive ,60657,Lake View,Multifamily Housing,193567,1921,1,95,3535122,7661552.4,,,,57.8,98.9,61.9,101.9,1058.5,5.5,41.9398563,-87.65846,"(41.9398563, -87.65846)"
2016,254099,Powell-CPS,7511 S South Shore Dr.,60649,South Shore,K-12 School,113516,1975,1,81,3242458.1,3122018.8,,,,56.1,118.6,59.4,122,763.5,6.7,41.7626302,-87.57255,"(41.7626302, -87.57255)"
2016,254096,Belden Centre Condominiums,350 W Belden Ave,60614,Lincoln Park,Multifamily Housing,140220,1955,1,,3538970.8,7862999.8,,,,81.3,138.1,86.8,143.8,1069.9,7.6,41.9217371,-87.65392,"(41.9217371, -87.65392)"
2016,254095,5556 North Sheridan Condominium Association,5556 N. Sheridan Rd.,60640,Edgewater,Multifamily Housing,90000,2006,1,94,1403481.8,3637421.9,,,,56,91.4,60.2,95.8,451.9,5,41.9726457,-87.66491,"(41.9726457, -87.66491)"
2016,254094,South Commons - 3041 S Michigan,3041 S Michigan Ave,60616,Douglas,Multifamily Housing,67133,1964,1,58,1190852.8,5192791.5,,,,95.1,136.9,105.1,147.4,495.3,7.4,41.8458598,-87.62921,"(41.8458598, -87.62921)"
2016,254093,The Catalyst,123 N Desplaines Street,60661,Near West Side,Multifamily Housing,255042,2014,1,9,11659462.5,10766574.2,,,,87.9,187.9,92.1,192.3,2720.9,10.7,41.8832102,-87.64337,"(41.8832102, -87.64337)"
2016,254082,Drexel Towers 4917,4917 S. Drexel,60615,Kenwood,Multifamily Housing,71000,1970,1,91,1220916,5242141.6,,,,91,131.5,99.3,140.2,503.5,7.1,41.8022432,-87.60352,"(41.8022432, -87.60352)"
2016,254080,The Gwen,521 N Rush St,60611,Near North Side,Hotel,360000,2000,1,72,11459645.6,6951129.7,,12279550.9,,85.3,154.3,83.5,155,3128.6,8.7,41.8957877,-87.62247,"(41.8957877, -87.62247)"
2016,254079,Metro North Condominium Association,3946 N. Ravenswood Ave.,60613,North Center,Multifamily Housing,78000,2006,1,94,2055334.2,1027846.8,,,,39.5,96.6,41.3,98.5,433.4,5.6,41.9543088,-87.6618,"(41.9543088, -87.6618)"
2016,254077,South Commons - 3021 S Michigan,3021 S Michigan Ave,60616,Douglas,Multifamily Housing,67133,1964,1,77,1132371.1,5435747.9,,,,97.8,138,107.7,148.3,497.4,7.4,41.8458598,-87.62921,"(41.8458598, -87.62921)"
2016,254076,North Water - Whole Building,340 E North Water St,60611,Near North Side,Multifamily Housing,858191,2015,1,78,30538505.5,18772582.7,,,,57.5,134.7,56.7,130.7,6626,7.7,41.8957877,-87.62247,"(41.8957877, -87.62247)"
2016,254075,JeffJack,601 West Jackson,60661,Near West Side,Multifamily Housing,195769,2015,1,50,6788580,7256900.1,,,,71.7,147.8,75.4,151.6,1636.7,8.4,41.8832102,-87.64337,"(41.8832102, -87.64337)"
2016,254074,2007 N Sedgwick Condominium,2007 N Sedgwick,60614,Lincoln Park,Multifamily Housing,50000,1978,1,42,2163808.9,,,,,43.3,135.9,46.2,145,398.8,8,41.9217371,-87.65392,"(41.9217371, -87.65392)"
2016,254073,Blue Moon Lofts,215 N. Aberdeen St.,60607,NEAR WEST SIDE,Multifamily Housing,149000,2007,1,81,3921391.1,1521558,,,,36.5,93.4,36.7,90.9,803.6,5.4,41.87429514,-87.65017516,"(41.87429514, -87.65017516)"
2016,254072,Green Street Lofts,400 S Green Street,60607,Near West Side,Multifamily Housing,120000,1890,1,78,2920809.2,3772887.9,,,,55.8,109.4,55.6,106.6,738.8,6.2,41.8842525,-87.63245,"(41.8842525, -87.63245)"
2016,254069,Lincoln Point Condominium,5924 N Lincoln Ave,60659,West Ridge,Multifamily Housing,50000,2004,1,94,874645.7,2257405.3,,,,62.6,102.3,65.4,104.1,281.1,5.6,41.9904718,-87.70487,"(41.9904718, -87.70487)"
2016,254068,Union Lofts Condominium Association (3500 S. Sangamon),3500 S. Sangamon,60609,Bridgeport,Multifamily Housing,107143,1910,1,50,2878325.7,4309560.1,,,,67.1,126.6,70.6,128.4,759.4,7.1,41.8117692,-87.65514,"(41.8117692, -87.65514)"
2016,254067,Hedgerow Condominium Association,5400 S. Hyde Park BLVD.,60691,Hyde Park,Multifamily Housing,112800,1979,1,74,4010188.4,90595.8,,,,36.4,112.5,39.2,121.5,744,6.6,41.8022432,-87.60352,"(41.8022432, -87.60352)"
2016,254066,1515 Michigan Avenue Condominium Association,1515 -1525 S. Michigan Ave.,60605,Near South Side,Multifamily Housing,61861,1997,1,79,1444320.1,2262637.9,,,,59.9,111.7,62.1,112,386.4,6.2,41.8684207,-87.62414,"(41.8684207, -87.62414)"
