"","ID","ZIP.Code","Community.Area","Primary.Property.Type","Gross.Floor.Area...Buildings..sq.ft.","Year.Built","X..of.Buildings","ENERGY.STAR.Score","Electricity.Use..kBtu.","Natural.Gas.Use..kBtu.","Site.EUI..kBtu.sq.ft.","Source.EUI..kBtu.sq.ft.","Weather.Normalized.Site.EUI..kBtu.sq.ft.","Weather.Normalized.Source.EUI..kBtu.sq.ft.","Total.GHG.Emissions..Metric.Tons.CO2e.","GHG.Intensity..kg.CO2e.sq.ft.","total_site_energy_KBTU","log_total_site_energy_KBTU"
"1",254115,"60616","Armour Square","Multifamily Housing",99000,2000,1,96,1935003.2,2783435.5,47.7,90.9,46.7,87.8,504.5,5.1,4722300,15.367806527011
"2",254114,"60613","Lake View","Multifamily Housing",92072,2014,1,55,2477744.2,3147551.1,61.1,120.4,63.6,123,623.9,6.8,5625599.2,15.5428380248259
"3",254113,"60611","Near North Side","Multifamily Housing",136000,1924,1,24,5724360.2,1951759.8,56.4,147.2,59.8,157.4,1158.8,8.5,7670400,15.8528793232222
"4",254109,"60616","Douglas","Multifamily Housing",182246,1964,1,41,3158535.8,17010259.2,110.7,152.4,121.1,163.3,1485.7,8.2,20174632.2,16.8199365414708
"5",254107,"60607","Near West Side","Multifamily Housing",193497,1930,1,94,3620381.1,5465540.1,47,88.4,48.8,89,957.6,4.9,9094359,16.0231648891659
"6",254102,"60657","Lake View","Multifamily Housing",187888,2007,1,78,7498746.9,2341126.7,52.4,138.4,53.5,139.6,1506.5,8,9845331.2,16.1025079109319
"7",254101,"60657","Lake View","Multifamily Housing",193567,1921,1,95,3535122,7661552.4,57.8,98.9,61.9,101.9,1058.5,5.5,11188172.6,16.2303677604285
"8",254099,"60649","South Shore","K-12 School",113516,1975,1,81,3242458.1,3122018.8,56.1,118.6,59.4,122,763.5,6.7,6368247.6,15.66683488766
"9",254096,"60614","Lincoln Park","Multifamily Housing",140220,1955,1,38,3538970.8,7862999.8,81.3,138.1,86.8,143.8,1069.9,7.6,11399886,16.2491139133147
"10",254095,"60640","Edgewater","Multifamily Housing",90000,2006,1,94,1403481.8,3637421.9,56,91.4,60.2,95.8,451.9,5,5040000,15.4329166400476
"11",254094,"60616","Douglas","Multifamily Housing",67133,1964,1,58,1190852.8,5192791.5,95.1,136.9,105.1,147.4,495.3,7.4,6384348.3,15.6693599748942
"12",254093,"60661","Near West Side","Multifamily Housing",255042,2014,1,9,11659462.5,10766574.2,87.9,187.9,92.1,192.3,2720.9,10.7,22418191.8,16.9253833211515
"13",254082,"60615","Kenwood","Multifamily Housing",71000,1970,1,91,1220916,5242141.6,91,131.5,99.3,140.2,503.5,7.1,6461000,15.6812946625403
"14",254080,"60611","Near North Side","Hotel",360000,2000,1,72,11459645.6,6951129.7,85.3,154.3,83.5,155,3128.6,8.7,30708000,17.2400337649299
"15",254079,"60613","North Center","Multifamily Housing",78000,2006,1,94,2055334.2,1027846.8,39.5,96.6,41.3,98.5,433.4,5.6,3081000,14.9407647775788
"16",254077,"60616","Douglas","Multifamily Housing",67133,1964,1,77,1132371.1,5435747.9,97.8,138,107.7,148.3,497.4,7.4,6565607.4,15.6973555823836
"17",254076,"60611","Near North Side","Multifamily Housing",858191,2015,1,78,30538505.5,18772582.7,57.5,134.7,56.7,130.7,6626,7.7,49345982.5,17.7143669122219
"18",254075,"60661","Near West Side","Multifamily Housing",195769,2015,1,50,6788580,7256900.1,71.7,147.8,75.4,151.6,1636.7,8.4,14036637.3,16.4571814193282
"19",254074,"60614","Lincoln Park","Multifamily Housing",50000,1978,1,42,2163808.9,4481719.4,43.3,135.9,46.2,145,398.8,8,2165000,14.5879309194187
"20",254073,"60607","NEAR WEST SIDE","Multifamily Housing",149000,2007,1,81,3921391.1,1521558,36.5,93.4,36.7,90.9,803.6,5.4,5438500,15.509013845516
"21",254072,"60607","Near West Side","Multifamily Housing",120000,1890,1,78,2920809.2,3772887.9,55.8,109.4,55.6,106.6,738.8,6.2,6696000,15.7170208911514
"22",254069,"60659","West Ridge","Multifamily Housing",50000,2004,1,94,874645.7,2257405.3,62.6,102.3,65.4,104.1,281.1,5.6,3130000,14.9565435625163
"23",254068,"60609","Bridgeport","Multifamily Housing",107143,1910,1,50,2878325.7,4309560.1,67.1,126.6,70.6,128.4,759.4,7.1,7189295.3,15.7881037137673
