"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"1","In Compliance","4","20011",1959,"Multifamily Housing","Multifamily Housing",63227,65000,6963.5,"Whole Building","Whole Building",633043.8,44274.18307,9,101.3,102.7,175.9,174.9,482.9,7.4,6584500,15.7002289601324
"2","In Compliance","2","20005",1997,"Office","Office",251557,257943,8490,"Whole Building","Whole Building",5531486,NA,69,73.2,73.2,229.8,229.8,2164.4,8.4,18881427.6,16.7536893302298
"3","In Compliance","2","20036",1964,"Office","Office",330550,223218,8749.1,"Whole Building","Whole Building",3863003,64143.38666,76,87.8,89,215.6,215,1852.2,8.3,19598540.4,16.79096565204
"4","In Compliance","2","22202",1969,"Office","Office",256839,213067,5393.8,"Whole Building","Whole Building",2936445,NA,87,47,46.4,147.7,145.8,1249.2,5.9,10014149,16.1195095509305
"5","In Compliance","2","20037",1975,"Office","Office",370000,381518,10422.6,"Whole Building","Whole Building",7345290,NA,85,65.7,65.7,206.3,206.3,2874.1,7.5,25065732.6,17.0370122362598
"6","In Compliance","2","20006",1978,"Office","Office",1185122,1343643,23995.6,"Whole Building","Whole Building",18528210,NA,89,47,47,147.7,147.5,7249.8,5.4,63151221,17.9610427414907
"7","In Compliance","2","20005",1969,"Office","Office",286200,207696,4739.9,"Whole Building","Whole Building",4469606,NA,77,73.4,73.4,230.6,230.6,1748.9,8.4,15244886.4,16.5397546867532
"8","In Compliance","2","20005",1989,"Office","Office",606768,517464,8321.3,"Whole Building","Whole Building",9431956,17256.41775,81,65.5,65.5,198.8,198.8,3782.3,7.3,33893892,17.3387453791257
"9","In Compliance","2","20037",1966,"Office","Office",113547,322250,3664.5,"Whole Building","Whole Building",4778129,53754.62856,85,68,69.7,177.1,178.9,2171.8,6.7,21913000,16.9025906259775
"10","In Compliance","2","20006",1996,"Office","Office",255671,200430,3483.7,"Whole Building","Whole Building",5702739,NA,44,97.1,98,304.8,307.8,2231.4,11.1,19461753,16.7839617128849
