"","pid","dc_real_pid","pm_pid","property_name","pm_parent_pid","parent_property_name","year_ending","report_status","address_of_record","owner_of_record","ward","reported_address","city","state","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","water_use","electricity_use","natural_gas_use","fuel_use","district_water_use","metered_areas_energy","metered_areas_water","latitude","longitude","total_site_energy_KBTU","log_total_site_energy_KBTU","address_reform","x","lat","lon","score"
"1","PM04352082","27260812;27260821","4352082","1440 Rockview Apartments","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1440 ROCK CREEK FORD RD NW; 6040 14TH ST NW","AUBINOE ROCKVIEW LIMITED PARTNERSHP; VICTORY INVESTMENTS INC","4","1440 Rockcreekford road","Washington","DC",23,1959,"Multifamily Housing","Multifamily Housing",63227,65000,9,20,22,460,449,482.9,7.4,6963.5,633043.8,44274.18307,NA,NA,"Whole Building","Whole Building",38.96359693,-77.033848,1300000,14.0778748224318,"1440 Rockcreekford road, WASHINGTON, DC","1440 Rockcreekford road, WASHINGTON, DC",38.9635463841594,-77.0345001338733,89.39
"2","PM00002267","0253_0847","2267","600 Thirteenth St","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","0600 13TH ST NW","UNION INVESTMENT REAL ESTATE GMBH","2","600 13th St NW","Washington","DC",10,1997,"Office","Office",251557,257943,69,615,607,733,729,2164.4,8.4,8490,5531486,NA,NA,NA,"Whole Building","Whole Building",38.89784861,-77.02987163,158634945,18.882116177069,"600 13th St NW, WASHINGTON, DC","600 13th St NW, WASHINGTON, DC",38.8973615084279,-77.0297822796277,100
"3","PM00005829","0183_0857","5829","1101 17th Street","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1101 17TH ST NW","CESC 1101 17TH STREET LIMITED PARTNERSHIP","2","1101 17th Street N.W.","Washington","DC",38,1964,"Office","Office",330550,223218,76,735,740,673,667,1852.2,8.3,8749.1,3863003,64143.38666,NA,NA,"Whole Building","Whole Building",38.90405585,-77.03797318,164065230,18.9157746506118,"1101 17th Street N.W., WASHINGTON, DC","1101 17th Street N.W., WASHINGTON, DC",38.9037481761385,-77.0384396374785,89.75
"4","PM00006768","0126_0057","6768","1776 K Street NW","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1776 K ST NW","1776 K STREET ASSOCIATES & RIDDELL PARTNERS","2","1776 K Street NW","Washington","DC",52,1969,"Office","Office",256839,213067,87,370,360,293,277,1249.2,5.9,5393.8,2936445,NA,NA,NA,"Whole Building","Whole Building",38.90218881,-77.04123807,78834790,18.1828649548587,"1776 K Street NW, WASHINGTON, DC","1776 K Street NW, WASHINGTON, DC",38.9023483714813,-77.0411525134769,100
"5","PM00013149","0072_0076","13149","2101 L St NW","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2101 L ST NW","CESC 2101 L STREET LLC","2","2101 L St NW","Washington","DC",40,1975,"Office","Office",370000,381518,85,542,537,630,627,2874.1,7.5,10422.6,7345290,NA,NA,NA,"Whole Building","Whole Building",38.90437577,-77.0468819,206782756,19.1471793122089,"2101 L St NW, WASHINGTON, DC","2101 L St NW, WASHINGTON, DC",38.9037765515477,-77.0466997225134,100
"6","PM00016591","0106_0049","16591","International Square","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1835 I ST NW","CARR CRHP PROPERTIES LLC","2","1875 Eye Street NW","Washington","DC",14,1978,"Office","Office",1185122,1343643,89,370,365,293,288,7249.8,5.4,23995.6,18528210,NA,NA,NA,"Whole Building","Whole Building",38.901896,-77.042716,497147910,20.0243981454189,"1875 Eye Street NW, WASHINGTON, DC","1875 Eye Street NW, WASHINGTON, DC",NA,NA,0
"7","PM00016885","0214_0103","16885","1133 15th Street","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1133 15TH ST NW","1133 FIFTEENTH STREET LLC","2","1133 15th Street NW","Washington","DC",10,1969,"Office","Office",286200,207696,77,617,609,736,733,1748.9,8.4,4739.9,4469606,NA,NA,NA,"Whole Building","Whole Building",38.90486139,-77.03402384,128148432,18.6686997750382,"1133 15th Street NW, WASHINGTON, DC","1133 15th Street NW, WASHINGTON, DC",38.9043652342692,-77.0345148791575,100
"8","PM00017736","0250_0051","17736","Franklin Square","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1300 I ST NW","TIAA FRANKLIN SQUARE LLC","2","1300 Eye Street","Washington","DC",10,1989,"Office","Office",606768,517464,81,541,535,594,590,3782.3,7.3,8321.3,9431956,17256.41775,NA,NA,"Whole Building","Whole Building",38.90100088,-77.03034999,279948024,19.450114515331,"1300 Eye Street, WASHINGTON, DC","1300 Eye Street, WASHINGTON, DC",38.9012484313711,-77.0297263570849,90.97
"9","PM00020164","0075_0861; 0075_0863","20164","2100 Pennsylvania Avenue","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2100 PENNSYLVANIA AV NW","GEORGE WASHINGTON UNIVERSITY","2","2100 Pennsylvania Avenue","Washington","DC",40,1966,"Office","Office",113547,322250,85,563,574,468,477,2171.8,6.7,3664.5,4778129,53754.62856,223965.1,NA,"Whole Building","Whole Building",38.9011081,-77.0470223,181426750,19.0163625489411,"2100 Pennsylvania Avenue, WASHINGTON, DC","2100 Pennsylvania Avenue, WASHINGTON, DC",38.9012653961822,-77.0467443001086,90.97
"10","PM00023232","0166_0041","23232","1717 Penn Ave","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1717 PENNSYLVANIA AVE NW","1717 PENNSYLVANIA AVENUE LLC","2","1717 Pennsylvania Avenue NW","Washington","DC",14,1996,"Office","Office",255671,200430,44,800,804,890,879,2231.4,11.1,3483.7,5702739,NA,NA,NA,"Whole Building","Whole Building",38.8994702,-77.04039343,160344000,18.8928320652556,"1717 Pennsylvania Avenue NW, WASHINGTON, DC","1717 Pennsylvania Avenue NW, WASHINGTON, DC",38.8989841147262,-77.0398251321233,100
