"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"1",127,0,0,6401,3935383,"Libraries:","Libraries: 51/018 Malabar Library",24.5,0.2,4.1,24.7,287.8,146,47,148.3,47.7,305327.7,12.62914091
"2",1,0,0,491023,3935250,"Police","Police Department: 9/63   Police Administration Building  PAB",2423.4,863.9,6.7,3287.3,6808.8,211.6,89.7,213.4,90,44192070,17.60405592
"3",4,0,85,417170,3935253,"Public","Public Works: Transamerica Public works 1/88",1625.3,0,3.9,1625.3,0,0,0,141,44.9,18730933,16.74568689
"4",8,0,0,57723,3935259,"Police","Police Department: 9/83     911 Valley Communication Dispatch",791.6,6.5,14.5,798.2,486.3,514.3,165.3,523.2,168.1,9703236.3,16.08797003
"5",10,0,0,50635,3935261,"Police","Police Department: 9/20  Central Facilities Building",997.3,131.4,22.3,1128.7,2185.3,770,281.5,764.1,275.9,13970196.5,16.4524368
"6",12,0,0,166221,3935263,"Police","Police Department: 9/5  EOC Emergency Operations Center",1317.2,63,11,1380.2,457.5,384.7,129,390.8,130.8,21741706.8,16.89474295
"7",13,0,0,538802,3935264,"Libraries:","Libraries: 51/100 Central Library",1866.3,443.8,4.6,2310.2,9067.7,149.2,58.6,151.2,59.2,31897078.4,17.27802498
"8",14,0,0,69146,3935265,"Police","Police Department: 9/1  Van Nuys Police",932.9,400.3,19.3,1333.2,3714.5,0,0,602.7,264.5,18289117,16.72181674
"9",16,0,0,177450,3935267,"Police","Police Department: 9/7      77th Street Police",1002.4,312.2,7.4,1314.7,6959.9,233.2,96.3,239.2,98.2,17425590,16.67345037
"10",17,0,0,9400,3935268,"Fire","Fire Department: 5/95  Fire Station #95",31.9,11.2,4.6,43.1,0,0,0,146.5,61.6,579040,13.26912684
"11",18,0,0,7500,3935269,"Fire","Fire Department: 5/36  Fire Station #36",29.1,6.8,4.8,35.9,349.3,154.4,60.5,158.2,61.7,462750,13.04494223
"12",19,0,0,24260,3935270,"Fire","Fire Department: 5/87  Fire Station #87",97.9,18.6,7.6,116.5,552.9,246.4,94.6,256.4,96.9,2350794,14.6702637
"13",20,0,0,8853,3935271,"Fire","Fire Department: 5/51  Fire Station #51",38.8,0,4.4,38.8,0,0,0,158.6,50.5,447076.5,13.010485
"14",21,0,0,9700,3935272,"Fire","Fire Department: 5/92  Fire Station #92",35,0,3.8,35,277.2,132.1,42.1,137.4,43.8,424860,12.95951498
"15",22,0,0,11178,3935273,"Fire","Fire Department: 5/3  Fire Station #3",49.3,16.9,5.9,66.2,452.7,188.2,80.7,189.5,79.3,886415.4,13.69494097
"16",23,0,0,8010,3935275,"Fire","Fire Department: 5/64  Fire Station #64",91.2,20.4,13.9,111.6,733.3,440.5,174.3,462.5,179.2,1435392,14.17694854
"17",24,0,0,11625,3935276,"Fire","Fire Department: 5/28  Fire Station #28",29.3,11.4,4.9,40.7,368.5,155.4,70.9,155.5,66.7,775387.5,13.56111818
"18",25,0,0,11051,3935277,"Fire","Fire Department: 5/37  Fire Station #37",30.3,23.8,5.4,54.1,531.2,153.8,86,157.7,80.2,886290.2,13.69479972
"19",26,0,0,13790,3935278,"Fire","Fire Department: 5/62  Fire Station #62",51,9.3,4.4,60.3,592.6,147.6,55.7,147.2,55.3,762587,13.54447188
"20",27,0,0,5050,3935279,"Fire","Fire Department: 5/108 Fire Station #108",18.4,6.6,5,25,590.8,163.8,72.3,157.8,66.6,336330,12.7258481
"21",5,0,6,526680,3935254,"Municipal","Municipal: 1/14  City Hall East",5576.7,1080.3,12.6,6656.9,7106.2,426.6,163.4,423.7,160.6,84584808,18.25326523
"22",6,0,25,823272,3935256,"Municipal","Municipal: 1/2   Los Angeles City Hall",2726.3,1688.6,10.1,4414.9,9645.3,303.7,148.7,302.9,145,119374440,18.59777567
"23",7,0,17,139936,3935257,"Municipal","Municipal: 1/43  Fig Plaza",1281.9,42.4,9.5,1324.3,2725.9,0,0,337.5,111.3,15574876.8,16.56116971
"24",15,0,0,1300000,3935266,"Municipal","Municipal: 1/18  Piper Tech",2499.1,602.7,4,3101.8,5722.7,0,0,132.4,51.9,67470000,18.02719361
"25",28,0,0,10968,3935280,"Fire","Fire Department: 5/98  Fire Station #98",37.5,15.5,4.8,53,629,145.1,66,151.8,66.1,724984.8,13.49390597
"26",29,0,0,10454,3935281,"Fire","Fire Department: Fire Station #85",36,10.9,4.5,46.9,448.2,147,61.1,145.1,59.3,619922.2,13.33734927
