building_id,zip,energy_star_score,property_type,floor_area_building_SF,floor_area_parking_SF,year_built,total_ghg_emission_MTCO2e,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,water_use_KGAL,total_site_energy_KBTU,log_total_site_energy_KBTU,APN,ANUMBER,ST_NAME,ST_TYPE,ST_POST_DIR,PLAT,PROPERTY_TYPE,MULTIPLE_USES,TAX_EXEMPT,PARCEL_AREA_SQFT,NEIGHBORHOOD,COMMUNITY,WARD,ZONING,LANDUSE,LANDVALUE,BUILDINGVALUE,TOTALVALUE,EXEMPTSTATUS,HOMESTEAD,BUILDINGUSE,YEARBUILT,ABOVEGROUNDAREA,NUM_STORIES,GARAGE_PRESENT,PRIMARYHEATING,CONSTRUCTIONTYPE,EXTERIORTYPE,ROOF,FIREPLACES,BATHROOMS,BEDROOMS,ESRI_OID
1,55415,36,Office,62400,0,2012,971,115,118,251,252,708,7176000,15.78625268,2.30E+12,201,Chicago,Ave,S,9497,Commercial,No,No,16715,DOWNTOWN EAST,CENTRAL,3,C3A,OFFICE STRUCTURE,1504400,12571100,14075500,Not Tax Exempt,Not Homesteaded,Office,2012,36650,5,Yes,Forced Air,Steel Frame,Stucco,Flat,0,0,0,129953
2,55403,68,Office,59479,0,1920,986,90,93,256,266,882,5353110,15.49318826,3.03E+11,1635,Hennepin,St,S,8700,Commercial,No,No,120900,DOWNTOWN WEST,CENTRAL,3,B4-1,OFFICE STRUCTURE,2452100,602000,3520000,NA,Not Homesteaded,Office,1913,18169,6,Yes,Steam,Reinforced Concrete,Brick,Flat,NA,0,0,106914
3,55410,0,Other,59172,0,1914,1622,157,160,427,428,163,9290004,16.04444954,1.70E+12,4701,Beard,Ave,S,24110,Commercial,No,No,72427,FULTON,SOUTHWEST,13,R1A,UTILITY,1254100,1103400,2357500,Not Tax Exempt,Not Homesteaded,Telephone Exchange,1941,39260,3,Yes,Hot Water,Reinforced Concrete,Brick,Flat,0,0,0,165894
4,55419,76,Worship Facility,60640,62000,1959,268,50,54,77,81,674,3032000,14.92473303,2.20E+12,8,60TH,St,W,21717,Commercial,Yes,No,106370,WINDOM,SOUTHWEST,11,R1A,"INSTITUTIONS:SCHL,COLLEGE",499700,4893300,5393000,Not Tax Exempt,Not Homesteaded,Church,1959,45789,2,Yes,Forced Air,Steel Frame,Brick,Flat,0,0,0,100553
5,55415,89,Office,60528,0,1920,504,74,77,136,140,414,4479072,15.31492644,2.60E+12,700,10TH,Ave,S,4814,Commercial,Yes,No,28218,ELLIOT PARK,CENTRAL,6,B4N,"INSTITUTIONS:SCHL,COLLEGE",987600,2432400,3420000,Not Tax Exempt,Not Homesteaded,Hospital,1920,45102,3,Yes,Steam,Brick & Mill,Brick,Flat,0,0,0,123668
6,55402,31,Worship Facility,70000,18800,1953,575,77,84,138,144,419,5390000,15.50005594,2.70E+12,805,2ND,Ave,S,9010,Commercial,Yes,No,54450,DOWNTOWN WEST,CENTRAL,7,B4-2,"INSTITUTIONS:SCHL,COLLEGE",8120300,6497200,14617500,Not Tax Exempt,Not Homesteaded,Church,1955,36717,2,Yes,Steam,Concrete,Stone,Flat,0,0,0,88870
7,55401,92,Office,182374,16696,1911,1629,56,58,141,140,2155,10212944,16.13916649,2.20E+12,123,3RD,St,N,10360,Commercial,Yes,No,21384,DOWNTOWN WEST,CENTRAL,3,B4S-1,OFFICE STRUCTURE,2472200,13607800,16080000,Not Tax Exempt,Not Homesteaded,Office,1909,41712,8,Yes,Steam,Concrete,Brick,Flat,0,0,0,46193
8,55411,0,Pre-school/Daycare,58000,0,1991,515,81,89,148,156,2089,4698000,15.36264744,2.10E+12,700,Humboldt,Ave,N,7250,Commercial,No,Yes,233260,NEAR NORTH,NEAR NORTH,5,R4,"INSTITUTIONS:SCHL,COLLEGE",1399600,7101400,8501000,Tax Exempt,Not Homesteaded,School,1991,58000,1,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,48417
9,55415,63,Office,68047,11000,1902,602,89,96,150,157,236,6056183,15.61659029,2.60E+12,700,3rd,St,S,10264,Commercial,No,No,27246,DOWNTOWN EAST,CENTRAL,3,B4N,OFFICE STRUCTURE,2452100,3809700,6261800,Not Tax Exempt,Not Homesteaded,Office,1900,48577,6,Yes,Hot Water,Brick & Mill,Brick,Flat,0,0,0,55339
10,55419,4,K-12 School,85345,60000,1922,781,114,124,162,173,747,9729330,16.09065559,2.20E+12,525,54TH,St,W,21370,Commercial,No,Yes,242347,WINDOM,SOUTHWEST,11,R1A,"INSTITUTIONS:SCHL,COLLEGE",4846900,18840100,23687000,Tax Exempt,Not Homesteaded,Church,1923,5048,3,Yes,Unit Heaters,Wood Frame,Brick,Hip,0,0,0,117099
11,55407,0,Restaurant,70000,0,1929,2345,263,267,544,547,3967,18410000,16.72840455,2.20E+12,15,Dupont,St,N,748,Condominium,No,No,31086,NORTHLOOP,CENTRAL,3,C3A,SINGLE-FAMILY ATTACHED DWELLING,2981100,30986300,32385000,NA,Not Homesteaded,Condominium Unit,1921,69012,4,,Steam,,Brick,,NA,0,0,46193
12,55411,33,Office,56000,0,1984,1088,95,94,297,295,0,5320000,15.48698386,2.20E+12,560,6TH,Ave,N,6960,Commercial,No,Yes,519218,NORTHLOOP,CENTRAL,5,I2,VEHICLE RELATED USE,28557000,2000,28559000,Tax Exempt,Not Homesteaded,Bus Terminal,1983,60252,6,Yes,Hot Water,Concrete,Brick,Flat,0,0,0,67485
