Address,Postal Code,ENERGY STAR Score,Primary Property Type,Floor Area (Building) (ft²),Floor Area (Parking) (ft²),Year Built,Total GHG Emissions (Metric Tons CO2e),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use (kgal)
201 Chicago Ave S,55415,36,Office,62400,0,2012,971,115,118,251,252,708
1011 Nicollet Mall,55403,68,Office,59479,0,1920,986,90,93,256,266,882
4701 Beard Ave S,55410,0,Other,59172,0,1914,1622,157,160,427,428,163
8 60Th St W,55419,76,Worship Facility,60640,62000,1959,268,50,54,77,81,674
700 10Th Ave S,55415,89,Office,60528,0,1920,504,74,77,136,140,414
805 2Nd Ave S,55402,31,Worship Facility,70000,18800,1953,575,77,84,138,144,419
123 3Rd St N,55401,92,Office,182374,16696,1911,1629,56,58,141,140,2155
700 Humboldt Ave N,55411,0,Pre-school/Daycare,58000,0,1991,515,81,89,148,156,2089
700 3Rd St S,55415,63,Office,68047,11000,1902,602,89,96,150,157,236
525 West 54th St,55419,4,K-12 School,85345,60000,1922,781,114,124,162,173,747
920 Lake St E,55407,0,Restaurant,70000,0,1929,2345,263,267,544,547,3967
560 6Th Ave N,55411,33,Office,56000,0,1984,1088,95,94,297,295,0
3800 Pleasant Ave,55409,82,K-12 School,63260,10433,1935,303,58,64,84,91,894
84 10th St S,55402,65,Office,63360,0,1914,752,85,86,189,190,3503
1455 Lake St W,55408,61,Financial Office,65000,76704,1965,763,107,114,195,203,605
233 Park Ave,55415,55,Office,52069,0,1909,943,121,126,287,295,1660
2850 26Th Ave S,55406,0,Supermarket/Grocery Store,65130,0,1989,2711,256,262,653,658,1665
300 Industrial Blvd,55413,0,Mixed Use Property,65400,91850,1971,303,37,41,76,79,1
910 26Th St E,55407,44,Medical Office,61609,0,1986,985,112,114,254,255,842
2800 Chicago Ave,55407,65,Medical Office,53750,0,1986,648,96,100,196,199,553
