Organization Name,Property Name,Address,Postal Code,ENERGY STAR Score,Primary Property Type,Floor Area (Buildings) (ft²),Floor Area (Parking) (ft²),Year Built,Total GHG Emissions (Metric Tons CO2e),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use (kgal)
Hennepin County,1800 Chicago,1800 Chicago S.,55404,88,Office,102815,0,1996,847,74,79,137,141,2574
Hennepin County,Central Library,300 Nicolet Mall,55401,0,Other,406354,266266,2004,2971,48,50,115,118,7203
Hennepin County,Century Plaza,330 south 12th st,55404,98,Office,297650,194471,1934,2375,56,58,127,130,2876
Hennepin County,Family Justice Center,110 S. 4th St.,55415,97,Courthouse,227422,49804,1956,1516,53,56,109,111,1087
Hennepin County,Forensic Sciences Building,530 Chicago Avenue South,55415,3,Medical Office,62602,0,1974,1219,218,224,331,339,401
Hennepin County,Government Center,300 S. Sixth,55487,83,Courthouse,1182041,168895,1974,11815,88,91,164,168,10135
Hennepin County,Health Services Building,525 Portland Ave South,55415,99,Office,198739,0,1989,1159,50,52,95,98,1209
Hennepin County,Hennepin County Medical Center,701 Park Avenue,55415,91,Hospital (General Medical & Surgical),2404995,500174,1976,39491,185,188,280,283,26143
Hennepin County,Juvenile Justice Center/Detention Center,626 S. Sixth,55415,0,Prison/Incarceration,199219,0,1983,1753,78,80,144,147,1936
Hennepin County,North Point Health and Wellness,1313 Penn Ave N,55411,81,Medical Office,67205,76221,1995,643,64,66,152,153,887
Hennepin County,North Regional Library,1315 Lowry Avenue North,55411,0,Other,38993,19255,1971,300,64,69,126,131,188
Hennepin County,Public Safety Facility,401 4 Ave South,55415,0,Prison/Incarceration,381568,51208,2001,4972,125,128,216,219,8434
Hennepin County,Whittier Clinic,2810 Nicollet Ave. South,55415,17,Medical Office,63808,60600,2008,1249,150,153,317,321,1143
City of Minneapolis,10th and Hennepin Ramp,935 Hennepin Avenue,55403,0,Parking,552000,552000,1998,686,8,8,20,20,2141
