"","num_buildings","year_built","property_type_primary_epa","floor_area_total_SF","h2o_use_allsources_KGAL","SALE_PR","SALE_TY","MV","TX_LND","TX_BLDG","XMPT_LND","XMPT_BLDG","CAT_CD","ZONE","FRT","DPT","TOT_AREA","TOP","GRG_TYP","GRG_SP","OFF_ST","VIEW_","STORIES","EXT_COND","NO_RM","NO_BD","NO_BATH","BASMT_SQFT","FIRE","INT_COND","TOT_LIV_AREA","building_value","value_per_SF","electricity_use_KBTU","energy_star_score","site_eui_KBTUSF","source_eui_KBTUSF","total_ghg_emissions_MTCO2e","total_site_energy_KBTU","log_total_site_energy_KBTU"
"1",1,1987,"Office",1117466,17093.4,1,"4",178231600,19435800,158795800,0,0,4,"CMX5",22812,28400,6478600,"F","0",0,0,"I",400,4,0,0,0,0,0,4,1152520,158795800,142.103473394269,74041355.4,83,72.4,227.5,8491,80904538.4,18.2087804793428
"2",1,1992,"Office",1148906,16707.4,1,"D",170101700,19329300,150772400,0,0,4,"CMX5",22687,28400,6443100,"F","0",0,0,"I",0,4,0,0,0,0,0,4,1152480,150772400,131.23127566572,70118783.7,83,64.4,202.3,8041.2,73989546.4,18.1194343763248
"3",1,1986,"Office",751503,11007.6,1e+08,"3",100251800,10584000,89667800,0,0,4,"CMX5",19600,18000,3528000,"F","0",27,0,"I",290,4,0,0,0,0,0,4,799994,89667800,119.317953487877,37377709.4,85,70.7,190.5,5028.1,53131262.1,17.7882760530857
"4",1,1981,"Office",721408,3428.9,7.5e+07,"M",93035800,10800000,82235800,0,0,4,"CMX5",20000,18000,3600000,"A","0",0,0,"I",270,4,0,0,0,0,0,4,708750,82235800,113.993468328602,37120444.6,88,62.8,175.2,4798.9,45304422.4,17.6289152104123
"5",1,1973,"Office",1178691,17363.1,154400000,"3",1.7e+08,10612800,159387200,0,0,4,"CMX5",20100,17600,3537600,"F","0",0,0,"I",400,0,0,0,0,0,0,0,1143040,159387200,135.223905162591,32611646.9,95,52.3,126.9,5008.6,61645539.3,17.9369114297257
"6",1,2000,"Non-Refrigerated Warehouse",1000500,4984,1,"F",40437800,8907300,31530500,0,0,5,"I1",48566,181337,307149300,"F","0",0,0,"I",10,3,0,0,0,0,0,3,1010944,31530500,31.5147426286857,39908321.5,57,56.8,143,5474.4,56828400,17.855546758733
"7",1,1968,"Office",1099385,11559,143500000,"B",142389000,18163200,124225800,0,0,4,"CMX5",34400,17600,6054400,"A","0",30,0,"I",320,4,0,0,0,0,0,4,1183616,124225800,112.995720334551,52177498.2,80,78.3,202.4,7376.7,86081845.5,18.2708090935067
"8",20,1966,"Hospital (General Medical & Surgical)",1762546,57907,4,"C",19125000,0,0,3400000,15725000,4,"RSA2",205460,12976,64399500,"F","0",0,0,"I",0,0,0,0,0,0,0,0,274950,15725000,8.92175296417796,118643599.4,55,197.8,387.1,21390.3,348631598.8,19.6695263318074
"9",1,1973,"Medical Office",503408,4655.3,140600000,"J",85888400,4675000,81213400,0,0,4,"CMX4",18500,20000,3740000,"F","0",0,50,"I",180,4,0,0,0,0,0,4,431748,81213400,161.327193846741,22604305.5,88,55.3,155,2906.3,27838462.4,17.1419291620202
"10",1,1974,"Office",663328,9678.6,69790977,"M",74198700,7312500,66886200,0,0,4,"CMX5",14750,16530,2437500,"A","0",0,0,"I",270,0,0,0,0,0,0,0,688986,66886200,100.834278064547,31067287,81,77.2,183.6,4900.7,51208921.6,17.75142432483
"11",1,1975,"Office",761162,10663.2,101988124,"M",90278000,17226000,73052000,0,0,4,"CMX5",14500,39600,5742000,"A","0",85,0,"I",200,4,0,0,0,0,0,4,659340,73052000,95.9743129583453,43395658.5,85,76,208.5,5720.1,57848312,17.8733348322673
"12",1,1998,"Office",322610,3801.4,154400000,"M",60006000,5685000,47637200,0,0,4,"CMX25",17161,40400,37071316,"F","0",0,0,"I",0,3,0,0,0,0,0,3,355036,47637200,147.661882768668,13544746.1,88,69.3,177.6,1829,22356873,16.9226443485288
