natural_gas_use_kbtu,objectid,address,property_name,opa_number,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electricity_use_kbtu,portfolio_manager_id,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes,x_coord,y_coord
Not Available,1,2005 MARKET ST,One Commerce Square,883054371,19103,1,1987,Office,1117466,74041355.4,16288,Not Available,Not Available,83,72.4,227.5,17093.4,8491,,-75.17447618,39.9542666
Not Available,2,2001 MARKET ST,Two Commerce Square,883054361,19102,1,1992,Office,1148906,70118783.7,16290,Not Available,Not Available,83,64.4,202.3,16707.4,8041.2,,-75.1736769,39.95416413
Not Available,3,1835 MARKET ST,1835 Market Street,883104005,19103,1,1986,Office,751503,37377709.4,19331,Not Available,11169977.4,85,70.7,190.5,11007.6,5028.1,,-75.17106331,39.95370218
Not Available,4,1801-21 MARKET ST,12589 Ten Penn Center,883054000,19103,1,1981,Office,721408,37120444.6,26081,Not Available,8161456.1,88,62.8,175.2,3428.9,4798.9,,-75.17036464,39.95361225
Not Available,5,1818-28 MARKET ST,1818 Market St,883033001,19103,1,1973,Office,1178691,32611646.9,29230,Not Available,19107149.6,95,52.3,126.9,17363.1,5008.6,,-75.17115071,39.9529363
16902413.4,6,2760 RED LION RD,Philadelphia,884288400,19114,1,2000,Non-Refrigerated Warehouse,1000500,39908321.5,1048989,Not Available,Not Available,57,56.8,143,4984,5474.4,,-75.0148352,40.08930106
Not Available,7,1700-40 MARKET ST,1700 Market Street,883032000,19103,1,1968,Office,1099385,52177498.2,1060573,Not Available,20980039.8,80,78.3,202.4,11559,7376.7,,-75.16921654,39.95269644
154928940.4,8,400 UNIVERSITY AVE,Philadelphia,783531800,19104,20,1966,Hospital (General Medical & Surgical),1762546,118643599.4,1066282,0,Not Available,55,197.8,387.1,57907,21390.3,,-75.19981474,39.94763469
Not Available,25,3521-35 MARKET ST,3535 Market,883073000,19104,1,1973,Medical Office,503408,22604305.5,1339876,Not Available,4730333.5,88,55.3,155,4655.3,2906.3,,-75.19366174,39.95653656
Not Available,26,1622-50 ARCH ST,Arch 1650 Partners LP,883058000,19103,1,1974,Office,663328,31067287,1439909,Not Available,20150543.1,81,77.2,183.6,9678.6,4900.7,,-75.1676865,39.95466846
Not Available,27,22-34 S 17TH ST,"SPUS7 United Plaza, L.P.",883051500,19103,1,1975,Office,761162,43395658.5,1440658,Not Available,11197478.7,85,76,208.5,10663.2,5720.1,,-75.16941515,39.95220855
5190783.2,28,190 N INDEPENDENCE W ML,American College of Physicians Headquarters,771523010,19106,1,1998,Office,322610,13544746.1,1452163,Not Available,Not Available,88,69.3,177.6,3801.4,1829,,-75.15001579,39.95441256
13540147.4,29,1101-11 MARKET ST,ARAMARK Tower,883308700,19107,1,1984,Office,759072,39128133.6,1467329,1791971.4,Not Available,85,71.7,183,13119.7,5339.4,,-75.15850468,39.9523126
Not Available,30,1501-39 MARKET ST,1515 Market Street,883337500,19102,1,1958,Office,564078,30464659.6,1476210,Not Available,10652788.3,72,72.9,192.3,8772.7,4201,,-75.16601519,39.95301764
Not Available,31,2929 ARCH ST,150-CIRA CENTRE,883062400,19104,1,2006,Office,779497,64432583.3,1485471,Not Available,Not Available,82,82.7,259.5,16444.8,7389.1,,-75.18248116,39.95738271
14293573.8,32,130 N 18TH ST,153-ONE LOGAN SQUARE,883061505,19103,1,1983,Office,1111787,53282474.4,1485500,Not Available,Not Available,91,60.8,164,11131.1,6869.6,,-75.17012059,39.95639879
Not Available,33,100-20 N 18TH ST,154-TWO LOGAN SQUARE,883061805,19103,1,1988,Office,808040,60816306.9,1485534,Not Available,Not Available,86,75.3,236.3,17096,6974.4,,-75.16978354,39.9557261
394148.2,34,3819-31 CHESTNUT ST,St. Leonard's Court,773080200,19104,1,1985,Office,52306,2907478.5,1489392,Not Available,Not Available,Not Available,63.1,182.5,1231.3,354.4,,-75.19940387,39.95568948
32135.1,35,1 CRESCENT DR,L01973 - One Crescent Drive,883813200,19112,1,2005,Office,176234,3943732.9,1496733,Not Available,Not Available,90,50.3,157.1,621.3,454,,-75.17473644,39.89487747
Not Available,36,150 S INDEPENDENCE W ML,Public Ledger,883003510,19106,1,1927,Office,535382,24553311.6,1516957,Not Available,14707855.6,79,73.3,177.1,9530.4,3700.3,,-75.15147156,39.94896069
1743500.3,37,1-79 MIFFLIN ST,PHILADELPHIA SE (1443),882055480,19148,1,2002,Retail Store,268266,8092376.9,1547807,Not Available,Not Available,75,72.8,201.7,1300,1020.6,,-75.1461529,39.924391
1934200,38,11000 E ROOSEVELT BLV,PHILADELPHIA NE (1809),882070800,19116,1,2003,Retail Store,446882,6989441.1,1548013,Not Available,Not Available,87,61,163.8,951,904.3,,-75.00957268,40.10194148
1364500.1,39,2701 CASTOR AVE,PHILA-BRIDESBURG (2075),882070900,19134,1,2005,Retail Store,367782,7785068.3,1548255,Not Available,Not Available,82,66.8,189,4268,965.3,,-75.08935118,39.99077647
2507399.7,40,4000 MONUMENT RD,PHILADELPHIA WEST (2124),882150610,19131,1,2007,Retail Store,449031,10150802.4,1548288,Not Available,Not Available,75,79,215.4,2532,1297.3,,-75.2123169,40.00608397
52277438,9,601 MARKET ST,PA0000BG-BYRNE GREEN COMPLEX,781208400,19106,1,1985,Mixed Use Property,1834559,56508223.6,1134770,19596,Not Available,87,63.6,135.5,20802.7,9249.8,,-75.15097443,39.95187224
Not Available,10,2000 KUBACH RD,1192-Nortech,874990011,19116,1,1990,Mixed Use Property,178190,57838006.2,1182097,Not Available,Not Available,Not Available,465.7,1462.4,12293.7,6632.8,,-75.00036997,40.11624379
