Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
5587/004B,2160-2196 Palou Ave,2160 Palou Ave,94124,44311,,,Violation - Did Not Report,,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2012-11-15T00:00:00,,,,,,,,,,99,11.4,27.5,-77.9,-77.9,32.5,0.8,13.1,29.3,99,10.6,25.3,-79.6,-79.6,33.1,0.8,11.3,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0743/001,799 VAN NESS AVE,799 VAN NESS AVE,94102,42976,,"799 VAN NESS AVE
SAN FRANCISCO, CA 94102
(37.782627, -122.420857)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0743/001,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060/001,890 TENNESSEE ST,888 TENNESSEE ST,94107,38520,,"888 TENNESSEE ST
SAN FRANCISCO, CA 94107
(37.760791, -122.389513)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4060/001,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0267/004,The Shell Building,100 BUSH ST,94104,268132,Office,"100 BUSH ST
SAN FRANCISCO, CA 94104
(37.79128, -122.39995)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0267/004,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Exempt - ENERGY STAR,2012-11-15T00:00:00,,,,,,,,,,98,25.3,79.4,-61.9,-61.9,474.7,1.9,25.3,79.4,97,28.6,89.9,-59,-59,532.5,2.3,28.6,89.9,94,33.9,106.5,-51.8,-51.8,606,2.8,33.9,106.5,91,44.3,122.3,-45.7,-45.7,742,3.4,44.2,121.5,,,,,,,,,,95,43.3,,-52.4,,898.47,,41.5,
3707/008,58 2nd Street,60 2ND ST,94105,15900,Other,"60 2ND ST
SAN FRANCISCO, CA 94105
(37.788535, -122.400461)",Complied,,http://propertymap.sfplanning.org/?&search=3707/008,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,51.8,109.9,-10.7,-10.7,53.3,3.4,51.8,109.9,,115.7,186.8,51.7,51.7,114.4,7.2,115.7,186.8,,129.9,207.8,68.8,68.8,125.1,7.9,129.9,207.8,,136.6,216.3,75.6,75.6,131.1,8.2,136.6,216.3,,110.8,191,55.2,55.2,113.2,7.1,110.8,191,,,,,,,,,,,,,,,,,,
0738/019,Bay Area Air Quality Management District,939 ELLIS ST,94109,80700,Office,"939 ELLIS ST
SAN FRANCISCO, CA 94109
(37.78372, -122.421807)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=0738/019,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,30,101,263,24,24,605,7.5,100.4,261.3,27,105.5,268.6,28.4,28.4,625.4,7.7,105.5,268.6,32,99.2,258,20.8,20.8,631.8,7.8,99.3,258.2,26,113.1,280.3,30,,701.6,,113.1,280.3,27,113.2,,28.5,,719.94,,113.2,
0307/001,Westin St. Francis Hotel,335 POWELL ST,94102,1471800,Hotel,"335 POWELL ST
SAN FRANCISCO, CA 94102
(37.787851, -122.40834)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=0307/001,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,75,62.6,124.6,-22.1,-22.1,6305.6,4.5,62.6,124.6,65,65.4,120.9,-13.4,-13.4,6488.5,4.6,65.4,120.9,24,87.1,186.1,26.4,26.4,10619.2,7.6,87.1,186.1,1,43863.1,52877.8,29298.9,,5453559.8,,43863.1,52877.8,1,48410.9,,37084,,5362506.36,,48410.9,
5318/046,2065 Oakdale Ave,2065 Oakdale Ave,94124,55695,,"2065 Oakdale Ave
SAN FRANCISCO, CA 94124
(37.739558, -122.39905)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=5318/046,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696/036,992 PERALTA AVE,992 PERALTA AVE,94110,10678,,"992 PERALTA AVE
SAN FRANCISCO, CA 94110
(37.737302, -122.409084)",Exempt,Exempt - Demolition,http://propertymap.sfplanning.org/?&search=5696/036,Exempt,Exempt - Demolition,Exempt,Exempt - Demolition,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Exempt - Demolition,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4812/037,1250 VAN DYKE AVE,1250 VAN DYKE AVE,94124,20500,,"1250 VAN DYKE AVE
SAN FRANCISCO, CA 94124
(37.725351, -122.385715)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4812/037,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
