parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
3707/008,94105,15900,Other,58,51.8,109.9,-10.7,-10.7,53.3,3.4,51.8,109.9,823620,13.62146454,08I,,5,M,1949,0,NA,7,0,0,M2,D,20,0,10980,0,7200,R,1000,1,0,0,10/10/96,0,1170533,3073040,0,3,Financial District/South Beach
3733/030,94103,28000,Office,76,46.2,110.2,-23.5,-23.5,56.2,3.1,48.3,112.4,1293600,14.07293959,08I,,12,C,1900,0,NA,7,1,10,C3R,C,0,0,22330,0,6187.5,O,1000,1,0,0,,0,761482,138563,0,1,Russian Hill
3970/004,94110,1.00E+05,,99,12,36.8,-70.1,-70.1,90,0.9,12,36.8,1200000,13.99783211,08B,Financial District North,3,H2,1912,0,NA,24,7,1,C3O,B,37.5,0,99580,0,12956,R,1000,1,0,0,12/13/12,0,5464679,8729854,0,3,Financial District/South Beach
7295/038B,94132,47821,,7,129.8,275.5,184.6,184.6,402.1,8.4,129.8,275.5,6207165.8,15.64121496,01B,Inner Richmond,35,I,1929,0,NA,10,1,1,C2,B,0,0,5812,0,10000,,1000,1,0,0,,0,1327990,3278800,0,10,Visitacion Valley
3956/004,94103,27667,Office,100,20.3,54.7,-69.2,-69.2,34.1,1.4,21.5,55.9,561640.1,13.23861653,09E,Potrero Hill,26,I,1924,0,0,8,3,0,M2,C,0,0,12000,0,10000,S,1000,1,0,0,,346045,1972137,568582,10037,10,Mission Bay
3763/007,94107,39318,Office,97,29.5,75.6,-60,-60,80.7,2.1,31.1,77.3,1159881,13.96382797,09B,,25,I,1935,0,NA,0,7,1,SSO,C,0,0,41500,0,6000,R,1000,1,0,0,,0,5190357,1764116,0,6,Financial District/South Beach
3574/048,94110,14000,Other - Education,100,13.9,43.7,-69.1,-69.1,14.8,1.1,13.9,43.7,194600,12.17870145,09C,Inner ission,23,I,1900,0,0,4,2,0,CM,D,0,0,14400,0,7200,R,1000,1,1014851,0,10/9/40,0,753889,1275813,0,9,Mission
0710/014,94115,19400,Other,94,24.8,54.3,-55.9,-55.9,31.5,1.6,25.5,55.1,481120,13.083872,06D,Western Addition,5,W,1935,0,0,17,2,0,RM3,D,0,0,0,0,14910,,1000,1,815475,0,,131319,482106,160560,41490,5,Western Addition
0229/020,94111,340000,Hotel,77,61.7,130.7,-24.1,-24.1,1358.5,4,62.9,131.3,20978000,16.85898483,10A,Bayview,28,I,1926,0,NA,353,5,343,PDR2,C,0,0,73000,0,44797,O,1000,1,0,0,,0,32788128,13286293,0,10,Visitacion Valley
3571/014,94110,29154,Urgent Care/Clinic/Other Outpatient,68,51.1,144.6,-20.9,-20.9,108,3.7,51.9,145.4,1489769.4,14.2141319,09C,Inner ission,23,O,1938,0,0,90,2,1,M1,D,0,0,29154,0,24023,,1000,1,1747677,0,,0,1511752,415762,0,9,Mission
3729/024,94103,18050,Office,100,21,41.7,-71.8,-71.8,24,1.3,21.9,42.7,379050,12.8454234,08I,,3,O,1907,0,NA,15,2,1,C3R,B,20.23,0,11044,0,6000,R,1000,1,0,0,,0,568830,1348143,0,3,Financial District/South Beach
4020/001,94110,12400,Veterinary Office,39,78.9,207.2,13.4,13.4,68.7,5.5,80.1,207.4,978360,13.79363298,09C,Inner ission,26,I,1911,0,0,4,2,0,M1,C,0,0,12400,0,6211,,1000,1,0,0,7/27/10,0,444177,2090246,0,9,Mission
0296/009,94102,162214,Hotel,41,92.9,146.6,7.7,7.7,886.8,5.5,93.9,147.7,15069680.6,16.52819538,08I,,3,O,1926,313,NA,156,7,1,C3R,C,0,93.5,163640,10400,2268.75,,1000,1,0,0,3/7/90,939126,25902621,13286293,2151731,3,Nob Hill
3741/035,94105,700079,Office,89,56.7,158,-41.9,-41.9,2285.1,4.1,56.7,158,39694479.3,17.49672268,09F,South of Market,25,O,1960,0,NA,10,25,0,C3G,A,0,0,147489,0,8960,,1000,1,0,0,,0,21663280,7847574,70214,6,South of Market
0267/009,94104,14100,Office,41,75.9,140.7,9.3,9.3,66.2,4.7,75.9,140.7,1070190,13.88334676,08B,Financial District North,3,O,1910,0,0,31,11,0,C3O,A,80,0,14692,0,1600,R,1000,1,0,0,7/10/95,0,542071,731801,1480,3,Financial District/South Beach
0329/001,94102,53715,Office,69,62.6,144.9,-20.7,-20.7,224.8,4.2,64,145.9,3362559,15.02821285,08I,,3,C,1908,0,0,82,8,0,C3R,B,0,86.7,50163,0,5937,,1000,1,0,0,8/26/11,0,31861024,5573979,0,3,Financial District/South Beach
0309/020,94108,48934,Office,94,38.2,101.1,-55.2,-55.2,137.2,2.8,39.6,102.7,1869278.8,14.44106325,08I,,3,OC,1908,0,0,130,10,0,C3R,A,0,30,45260,0,4199,,1000,1,0,0,7/9/20,2111545,12819143,17722323,462178,3,Financial District/South Beach
7521/002B,94131,20405,Mixed Use Property,16,62.4,195.9,71.2,71.2,111.4,9.5,NA,NA,1273272,14.05710052,10E,Visitacion Valley,37,VR,1995,0,0,0,0,0,RH1,,0,0,0,0,1799,,1000,1,0,0,,0,0,0,0,10,Visitacion Valley
3534/057,94103,10534,,24,112.3,261.8,38.9,38.9,79.3,7.5,NA,NA,1182968.2,13.98353726,05M,Mission Dolores,23,C,1922,0,0,4,1,1,NC3,S,0,0,10500,0,15934,O,1000,1,0,0,,0,1066500,369540,0,8,Mission
3777/044,94107,15762,Office,99,19.7,49.2,-66.6,-66.6,21.4,1.4,21.4,51,310511.4,12.64597589,09D,Mission Bay,25,I,1929,0,0,11,2,0,SLI,D,0,0,15762,0,10397,,1000,1,0,0,11/8/80,0,1071504,1644762,0,6,South of Market
0310/003,94108,28660,Office,51,54.2,134.4,-2.1,-2.1,106.7,3.7,54.8,136.1,1553372,14.25593861,08I,,3,O,1907,0,0,53,8,2,C3O,A,0,0,28660,0,4216,O,1000,1,0,0,,0,637071,2389054,0,3,Financial District/South Beach
0498/029,94123,39504,Hotel,41,90.7,180.5,7,7,153.3,5.7,90.7,180.5,3583012.8,15.09171457,07A,Marina,4,M,1968,0,0,83,3,72,NC3,D,0,0,30412,0,0,,1000,1,0,0,,61651,5893076,5115520,113244,2,Marina
3706/062,94103,93140,Office,94,51.1,134.8,-53.3,-53.3,349.2,3.7,51.6,135.4,4759454,15.37564351,09C,Inner ission,26,OC,1920,0,NA,0,4,0,CM,C,0,0,99223,0,79997,O,1016,1,0,0,8/29/12,0,2715930,3549508,0,9,Mission
0174/003,94111,119099,Office,96,37.9,93.8,-56.7,-56.7,309.7,2.6,39,94.4,4513852.1,15.32266147,08B,Financial District North,2,O,1906,0,0,42,6,1,C2,C,0,0,97848,0,17855,,1000,1,0,0,5/29/97,0,9300405,8011632,0,3,Chinatown
9900/278,94105,15586,Office,47,123.1,198.4,2.4,2.4,113.6,7.3,132.6,208.4,1918636.6,14.46712539,08I,,5,O,1937,0,NA,215,3,2,C3R,C,0,39.35,18040,4657,52284.5,O,1000,0.25,0,0,,0,422165,770099,0,3,Financial District/South Beach
0294/013,94108,94000,Hotel,23,149.3,286,27.7,27.7,965.5,10.3,149.3,286,14034200,16.45700777,08I,,3,H1,1984,0,0,126,16,1,C3R,A,30,0,92000,0,9100,R,1000,1,0,0,5/1/70,988409,35678949,16394062,1980967,3,Financial District/South Beach
4231/002,94107,16250,Office,60,26.1,81.8,-10.7,-10.7,32.1,2,26.1,81.8,424125,12.9577835,09E,Potrero Hill,27,I,1957,0,0,9,1,1,M2,C,0,0,16300,0,63530,O,1000,1,0,0,7/22/50,0,1421362,4264092,0,10,Potrero Hill
4304/002,94124,41390,Office,77,33.3,79.6,-28.4,-28.4,93.4,2.3,35.9,82.4,1378287,14.13635198,09G,Hunters Point,25,O,1988,0,NA,0,2,1,CM,C,0,0,30000,278,0,,1000,1,1808494,0,,0,0,274040,0,6,West of Twin Peaks
0326/004,94102,29081,Retail Store,37,114.3,358.9,17.5,17.5,252.1,8.7,114.3,358.9,3323958.3,15.01666689,08I,,3,C,1910,0,0,11,2,1,C3R,C,0,93.5,29000,0,8738,,1000,1,0,0,1/31/95,0,7072729,6851220,0,3,Tenderloin
0310/001,94108,17090,Financial Office,34,100.3,270.1,18.4,18.4,126.2,7.4,103.1,273.5,1714127,14.35441447,08I,,3,C,1969,0,0,5,3,0,C3O,B,70.42,0,19875,5714,4401.25,R,1000,1,0,0,4/30/12,0,6979785,10469677,0,3,Financial District/South Beach
3728/002,94103,12250,Laboratory,3,148.2,334,171.3,171.3,120.2,9.8,151.1,337.1,1815450,14.41184393,09C,Inner ission,3,O,1912,0,NA,9,2,0,M1,C,0,0,0,0,42953,,1000,1,0,0,,0,1579488,2885124,0,3,Mission
7521/002C,94131,35853,Supermarket/Grocery Store,8,224.3,677.1,40.4,40.4,682,19,224.3,677.1,8041827.9,15.90016697,04B,Diamond Heights,44,C,1964,0,0,21,2,9,NCS,D,0,0,59759,4657,213748,O,1000,1,0,0,,0,4685456,2941418,0,8,Glen Park
0297/001,94102,168000,Hotel,65,62.3,136.7,-13.5,-13.5,686.2,4.1,62.7,137.2,10466400,16.16368068,08I,,3,U,1927,0,0,240,12,0,C3G,A,0,0,160062,0,12039,,1000,1,0,0,,4294090,3777631,944392,2728818,3,Nob Hill
0511/039,94123,16826,Hotel,90,34.8,109.1,-37.6,-37.6,31.1,2.6,37.2,116.9,585544.8,13.28029797,07D,Cow Hollow,4,VR,1986,0,0,0,0,0,RH2,,0,0,0,0,622,O,1000,1,0,0,8/11/95,0,0,121961,0,2,Marina
0309/007,94108,12400,Retail Store,76,40.1,126,-31.5,-31.5,37.7,3,40.1,126,497240,13.11682809,08I,,3,C,1907,0,0,5,4,3,C3R,C,20,0,12400,0,2750.4,R,1000,1,0,0,12/29/99,0,2507603,3510647,0,3,Financial District/South Beach
4019/002,94110,11824,Restaurant,3,93.7,190.2,299.6,299.6,70.6,6,93.7,190.2,1107908.8,13.91798483,09C,Inner ission,26,I,1924,0,0,6,2,0,PDR1G,B,24.25,0,11824,0,6212.5,R,1000,1,0,0,6/7/12,0,450837,1803350,0,9,Mission
0326/003,94102,18990,Retail Store,19,167.4,513,50.5,50.5,238.5,12.6,167.4,513,3178926,14.97205396,08I,,3,C,1909,0,0,7,2,4,C3R,C,0,68.37,27547,10400,9400,,1000,1,0,0,,0,393327,1127449,0,3,Tenderloin
